panel_id,report_id,relationship_to_proposal,nrc_reported,alpha_100,alpha_125,alpha_160,alpha_200,alpha_250,alpha_315,alpha_400,alpha_500,alpha_630,alpha_800,alpha_1000,alpha_1250,alpha_1600,alpha_2000,alpha_2500,alpha_3150,alpha_4000,alpha_5000
p6_18_round,A15-238,exact_perforation_nearest_documented_cavity,0.55,0.52,0.55,0.52,0.46,0.57,0.54,0.54,0.6,0.61,0.56,0.56,0.54,0.5,0.5,0.46,0.45,0.45,0.47
p8_18_square,A19-036,alternative_certified_system,0.8,0.72,0.64,0.36,0.71,0.67,0.71,0.77,0.87,0.89,0.83,0.83,0.86,0.79,0.86,0.83,0.79,0.86,0.84
designpanel_micro_square,A09-02-24,alternative_certified_system,0.6,0.49,0.33,0.32,0.64,0.7,0.56,0.57,0.62,0.55,0.56,0.52,0.56,0.58,0.77,0.71,0.74,0.74,0.6
p8_15_20_irregular_round,A15-240,alternative_certified_system,0.55,0.39,0.51,0.44,0.48,0.53,0.52,0.54,0.62,0.71,0.75,0.6,0.51,0.49,0.42,0.39,0.4,0.45,0.46
p8_12_50_round,A15-239,alternative_certified_system,0.7,0.6,0.62,0.58,0.57,0.7,0.69,0.71,0.76,0.76,0.73,0.72,0.66,0.65,0.65,0.59,0.56,0.51,0.56
irregular_rectangle,A19-037,alternative_certified_system,0.65,0.76,0.69,0.37,0.54,0.7,0.66,0.71,0.75,0.73,0.77,0.73,0.66,0.64,0.61,0.46,0.47,0.59,0.49
p12_25_round,A15-241,alternative_certified_system,0.6,0.37,0.5,0.41,0.43,0.53,0.47,0.53,0.58,0.63,0.62,0.6,0.61,0.69,0.77,0.75,0.55,0.59,0.75
p12_25_square,A06-11-15,alternative_certified_system,0.9,0.65,0.66,0.65,0.89,0.95,0.91,0.86,0.85,0.95,0.97,0.95,0.89,0.82,0.78,0.79,0.78,0.72,0.83
p8_18_round,SX-10038,alternative_certified_system,0.7,0.4,0.55,0.55,0.63,0.55,0.59,0.55,0.63,0.67,0.71,0.79,0.79,0.79,0.79,0.75,0.71,0.75,0.87
p12_25_var_glass,ZQT170151,alternative_certified_system,0.9,0.41,0.6,0.7,0.76,0.92,0.84,0.77,0.86,0.92,0.98,1.05,1.03,1.02,1.0,0.93,0.85,0.86,0.88
p8_15_20_var_glass,ZQT170002-4,alternative_certified_system,0.7,0.45,0.65,0.73,0.73,0.73,0.65,0.65,0.77,0.85,0.81,0.81,0.77,0.73,0.57,0.57,0.61,0.57,0.49
